day,month,year,age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,y,age_group,uk_interest_rate,uk_unemployment_pct,uk_gdp_growth_pct,uk_inflation_pct,uk_avg_salary_gbp,uk_consumer_confidence,uk_household_debt_to_income
7,jul,2021,44,entrepreneur,married,secondary,no,93,no,no,cellular,125,2,-1,0,,0,36-45,0.1,4.5,7.5,2.6,29600,−15,145.3
30,jan,2018,26,housemaid,married,tertiary,no,543,no,no,cellular,169,3,-1,0,,0,26-35,0.75,4.1,1.3,2.5,28200,−9,138.7
20,nov,2023,41,management,married,tertiary,no,5883,no,no,cellular,182,2,-1,0,,0,36-45,5.25,4.2,0.3,7.3,33000,−24,158.9
5,may,2020,55,blue-collar,married,primary,no,627,yes,no,,247,1,-1,0,,0,46-55,0.1,4.9,−9.4,0.9,28500,−34,142.8
17,aug,2021,67,retired,married,,no,696,no,no,telephone,119,1,105,2,failure,0,65+,0.1,4.5,7.5,2.6,29600,−15,145.3
30,jul,2021,56,self-employed,married,secondary,no,784,no,yes,cellular,149,2,-1,0,,0,56-65,0.1,4.5,7.5,2.6,29600,−15,145.3
21,aug,2021,53,admin.,married,secondary,no,105,no,yes,cellular,74,2,-1,0,,0,46-55,0.1,4.5,7.5,2.6,29600,−15,145.3
14,jul,2021,68,retired,divorced,secondary,no,4189,no,no,telephone,897,2,-1,0,,1,65+,0.1,4.5,7.5,2.6,29600,−15,145.3
27,aug,2021,31,technician,married,secondary,no,171,no,no,cellular,81,3,-1,0,,0,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
21,nov,2023,59,management,married,secondary,no,42,no,no,cellular,40,1,-1,0,,0,56-65,5.25,4.2,0.3,7.3,33000,−24,158.9
26,aug,2021,32,management,single,tertiary,no,2536,yes,no,cellular,958,6,-1,0,,1,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
13,aug,2021,49,technician,married,tertiary,no,1235,no,no,cellular,354,3,-1,0,,1,46-55,0.1,4.5,7.5,2.6,29600,−15,145.3
14,may,2020,42,admin.,divorced,secondary,no,1811,yes,no,,150,1,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
22,oct,2022,78,retired,divorced,primary,no,229,no,no,telephone,97,1,-1,0,,1,65+,1.75,3.7,4.1,9.1,31000,−41,152.6
14,nov,2023,32,blue-collar,married,secondary,no,2089,yes,no,cellular,132,1,-1,0,,1,26-35,5.25,4.2,0.3,7.3,33000,−24,158.9
6,may,2020,33,management,married,secondary,no,3935,yes,no,cellular,765,1,342,2,failure,1,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
30,may,2020,23,services,single,tertiary,no,363,yes,no,,16,18,-1,0,,0,18-25,0.1,4.9,−9.4,0.9,28500,−34,142.8
17,nov,2023,38,management,single,tertiary,no,11971,yes,no,,609,2,101,3,failure,0,36-45,5.25,4.2,0.3,7.3,33000,−24,158.9
11,aug,2021,36,management,single,tertiary,no,553,no,no,cellular,106,2,-1,0,,0,36-45,0.1,4.5,7.5,2.6,29600,−15,145.3
13,may,2020,52,blue-collar,married,secondary,no,1117,yes,no,cellular,365,1,-1,0,,0,46-55,0.1,4.9,−9.4,0.9,28500,−34,142.8
13,may,2020,32,technician,married,tertiary,no,396,yes,no,cellular,205,3,-1,0,,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
21,nov,2023,32,technician,single,tertiary,no,2204,yes,no,cellular,11,4,-1,0,,0,26-35,5.25,4.2,0.3,7.3,33000,−24,158.9
7,may,2020,34,management,single,tertiary,no,872,yes,no,,105,2,-1,0,,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
2,feb,2018,55,blue-collar,married,primary,no,145,no,no,telephone,59,3,5,2,other,0,46-55,0.75,4.1,1.3,2.5,28200,−9,138.7
21,may,2020,26,blue-collar,married,primary,no,0,yes,no,,425,1,-1,0,,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
4,feb,2018,32,entrepreneur,single,primary,yes,-849,yes,yes,cellular,204,1,-1,0,,0,26-35,0.75,4.1,1.3,2.5,28200,−9,138.7
27,jan,2018,61,admin.,married,,no,4629,yes,no,cellular,181,1,92,1,success,1,56-65,0.75,4.1,1.3,2.5,28200,−9,138.7
5,jun,2020,45,blue-collar,divorced,primary,no,844,no,no,,1018,3,-1,0,,1,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
20,aug,2021,37,technician,single,secondary,no,228,yes,no,cellular,1740,2,-1,0,,0,36-45,0.1,4.5,7.5,2.6,29600,−15,145.3
29,aug,2021,38,technician,single,secondary,no,50,no,no,cellular,98,2,-1,0,,0,36-45,0.1,4.5,7.5,2.6,29600,−15,145.3
15,jun,2020,34,technician,married,tertiary,no,1539,yes,no,cellular,441,1,56,1,other,1,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
14,jul,2021,53,blue-collar,married,secondary,no,2231,yes,no,cellular,272,3,-1,0,,0,46-55,0.1,4.5,7.5,2.6,29600,−15,145.3
15,jul,2021,48,admin.,married,secondary,no,3064,yes,no,telephone,159,2,-1,0,,0,46-55,0.1,4.5,7.5,2.6,29600,−15,145.3
4,feb,2018,57,management,married,secondary,no,82,no,yes,telephone,140,1,-1,0,,0,56-65,0.75,4.1,1.3,2.5,28200,−9,138.7
17,nov,2023,33,self-employed,single,tertiary,no,2155,no,no,cellular,295,1,-1,0,,0,26-35,5.25,4.2,0.3,7.3,33000,−24,158.9
26,may,2020,36,retired,single,secondary,no,101,yes,yes,,314,1,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
15,may,2020,54,technician,divorced,secondary,no,784,yes,yes,,579,1,-1,0,,0,46-55,0.1,4.9,−9.4,0.9,28500,−34,142.8
8,jul,2021,41,blue-collar,married,primary,no,-516,no,yes,telephone,554,3,-1,0,,0,36-45,0.1,4.5,7.5,2.6,29600,−15,145.3
7,oct,2022,63,retired,married,secondary,no,415,yes,no,cellular,323,1,-1,0,,0,56-65,1.75,3.7,4.1,9.1,31000,−41,152.6
13,aug,2021,48,management,married,tertiary,no,5887,no,no,cellular,227,2,-1,0,,0,46-55,0.1,4.5,7.5,2.6,29600,−15,145.3
4,jul,2021,48,services,married,secondary,no,1355,no,no,cellular,134,2,-1,0,,0,46-55,0.1,4.5,7.5,2.6,29600,−15,145.3
7,oct,2022,56,admin.,married,secondary,no,16873,no,no,cellular,223,1,-1,0,,0,56-65,1.75,3.7,4.1,9.1,31000,−41,152.6
8,may,2020,51,blue-collar,divorced,secondary,no,203,yes,no,cellular,134,1,170,5,failure,0,46-55,0.1,4.9,−9.4,0.9,28500,−34,142.8
28,jan,2018,31,services,married,secondary,no,338,yes,no,cellular,155,1,-1,0,,0,26-35,0.75,4.1,1.3,2.5,28200,−9,138.7
21,jul,2021,29,technician,married,secondary,no,444,yes,no,cellular,130,4,-1,0,,0,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
7,jul,2021,41,management,married,secondary,no,0,no,yes,cellular,630,3,-1,0,,0,36-45,0.1,4.5,7.5,2.6,29600,−15,145.3
19,nov,2023,32,technician,single,tertiary,no,360,no,no,cellular,164,2,-1,0,,0,26-35,5.25,4.2,0.3,7.3,33000,−24,158.9
16,jul,2021,37,management,married,tertiary,no,0,no,no,cellular,268,2,182,3,success,1,36-45,0.1,4.5,7.5,2.6,29600,−15,145.3
5,may,2020,42,entrepreneur,divorced,tertiary,yes,2,yes,no,,380,1,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
9,may,2020,31,management,single,tertiary,no,6248,yes,no,,154,2,-1,0,,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
3,jun,2020,41,services,married,tertiary,no,412,yes,no,,154,5,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
15,may,2020,56,retired,married,secondary,no,344,yes,no,,221,1,-1,0,,0,56-65,0.1,4.9,−9.4,0.9,28500,−34,142.8
14,aug,2021,54,management,divorced,tertiary,no,3222,no,no,cellular,67,2,-1,0,,0,46-55,0.1,4.5,7.5,2.6,29600,−15,145.3
14,may,2020,41,blue-collar,divorced,secondary,no,174,yes,no,cellular,367,2,297,1,other,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
14,aug,2021,40,technician,single,secondary,no,591,no,yes,cellular,87,6,-1,0,,0,36-45,0.1,4.5,7.5,2.6,29600,−15,145.3
5,feb,2018,50,blue-collar,divorced,primary,no,388,no,no,cellular,701,1,-1,0,,0,46-55,0.75,4.1,1.3,2.5,28200,−9,138.7
17,nov,2023,40,unemployed,married,secondary,no,219,yes,no,cellular,204,2,196,1,failure,0,36-45,5.25,4.2,0.3,7.3,33000,−24,158.9
16,jul,2021,27,admin.,divorced,secondary,no,451,yes,no,cellular,652,1,-1,0,,1,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
26,aug,2021,60,retired,married,primary,no,5,no,no,cellular,63,2,-1,0,,0,56-65,0.1,4.5,7.5,2.6,29600,−15,145.3
6,may,2020,28,admin.,single,secondary,no,177,yes,yes,cellular,150,1,-1,0,,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
7,jul,2021,52,services,married,secondary,no,657,no,no,telephone,398,2,460,2,failure,1,46-55,0.1,4.5,7.5,2.6,29600,−15,145.3
30,jun,2020,37,management,married,tertiary,no,1315,no,no,cellular,224,1,-1,0,,1,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
7,may,2020,51,blue-collar,married,primary,no,1466,yes,no,,406,2,-1,0,,0,46-55,0.1,4.9,−9.4,0.9,28500,−34,142.8
7,jul,2021,41,technician,single,secondary,no,879,no,yes,cellular,60,4,-1,0,,0,36-45,0.1,4.5,7.5,2.6,29600,−15,145.3
30,may,2020,35,blue-collar,single,primary,no,293,yes,no,,521,2,-1,0,,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
17,apr,2019,38,admin.,married,secondary,no,424,yes,no,cellular,279,1,-1,0,,0,36-45,0.75,3.8,1.6,1.8,29000,−14,137.1
20,may,2020,34,blue-collar,married,secondary,no,1831,yes,no,,203,2,-1,0,,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
18,nov,2023,39,blue-collar,married,primary,no,111,no,no,cellular,201,2,-1,0,,0,36-45,5.25,4.2,0.3,7.3,33000,−24,158.9
20,jun,2020,34,blue-collar,married,primary,no,455,yes,no,,372,3,-1,0,,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
18,may,2020,27,services,single,secondary,no,-195,yes,no,cellular,391,1,-1,0,,1,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
14,aug,2021,32,management,single,tertiary,no,3616,no,no,cellular,165,2,-1,0,,0,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
11,aug,2021,57,blue-collar,married,secondary,no,14093,no,no,cellular,231,5,-1,0,,0,56-65,0.1,4.5,7.5,2.6,29600,−15,145.3
1,jul,2021,41,,single,tertiary,no,1567,no,no,cellular,291,2,-1,0,,0,36-45,0.1,4.5,7.5,2.6,29600,−15,145.3
14,may,2020,41,admin.,married,tertiary,no,5426,yes,no,,149,2,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
19,oct,2022,30,admin.,single,tertiary,no,261,no,no,cellular,233,1,137,20,failure,0,26-35,1.75,3.7,4.1,9.1,31000,−41,152.6
12,feb,2018,36,blue-collar,divorced,secondary,no,2843,no,no,cellular,473,1,182,1,success,0,36-45,0.75,4.1,1.3,2.5,28200,−9,138.7
4,feb,2018,31,unemployed,single,primary,no,406,no,no,cellular,736,1,-1,0,,1,26-35,0.75,4.1,1.3,2.5,28200,−9,138.7
6,may,2020,36,blue-collar,married,secondary,no,0,yes,no,,337,1,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
11,may,2020,38,management,single,tertiary,no,493,yes,no,cellular,553,1,367,7,failure,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
21,nov,2023,49,technician,married,secondary,no,5996,no,no,telephone,345,2,-1,0,,0,46-55,5.25,4.2,0.3,7.3,33000,−24,158.9
13,may,2020,57,services,single,primary,no,3777,yes,no,telephone,65,2,-1,0,,0,56-65,0.1,4.9,−9.4,0.9,28500,−34,142.8
13,aug,2021,34,management,single,secondary,no,524,no,no,,9,1,-1,0,,0,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
14,apr,2019,32,management,single,tertiary,no,574,yes,no,cellular,259,2,145,3,failure,0,26-35,0.75,3.8,1.6,1.8,29000,−14,137.1
9,jun,2020,37,blue-collar,married,secondary,no,427,yes,yes,,371,3,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
3,feb,2018,33,self-employed,married,tertiary,no,483,yes,no,cellular,280,2,-1,0,,0,26-35,0.75,4.1,1.3,2.5,28200,−9,138.7
21,apr,2019,56,unemployed,married,primary,no,3391,no,no,cellular,243,1,-1,0,,1,56-65,0.75,3.8,1.6,1.8,29000,−14,137.1
23,jul,2021,27,housemaid,married,primary,no,0,yes,no,cellular,435,3,-1,0,,0,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
30,jun,2020,21,student,single,secondary,no,2488,no,no,cellular,258,6,169,3,success,1,18-25,0.1,4.9,−9.4,0.9,28500,−34,142.8
29,jul,2021,58,management,married,tertiary,no,1517,yes,no,telephone,7,5,-1,0,,0,56-65,0.1,4.5,7.5,2.6,29600,−15,145.3
15,jul,2021,32,self-employed,married,secondary,no,217,yes,yes,cellular,317,5,-1,0,,0,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
30,jan,2018,33,blue-collar,single,secondary,no,22,no,no,cellular,76,2,207,1,failure,0,26-35,0.75,4.1,1.3,2.5,28200,−9,138.7
26,aug,2021,25,student,single,secondary,no,331,no,no,telephone,170,4,-1,0,,1,18-25,0.1,4.5,7.5,2.6,29600,−15,145.3
17,nov,2023,25,technician,single,secondary,no,505,no,yes,cellular,386,2,-1,0,,1,18-25,5.25,4.2,0.3,7.3,33000,−24,158.9
18,may,2020,30,services,married,secondary,no,1808,yes,no,cellular,83,2,-1,0,,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
19,aug,2021,22,admin.,single,secondary,no,4111,no,yes,cellular,65,1,-1,0,,0,18-25,0.1,4.5,7.5,2.6,29600,−15,145.3
13,aug,2021,39,blue-collar,married,primary,no,52,no,no,cellular,69,1,-1,0,,0,36-45,0.1,4.5,7.5,2.6,29600,−15,145.3
17,jun,2020,46,management,divorced,tertiary,no,25,no,no,,564,2,-1,0,,0,46-55,0.1,4.9,−9.4,0.9,28500,−34,142.8
21,jul,2021,31,admin.,divorced,secondary,no,1890,yes,no,cellular,588,1,-1,0,,0,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
18,aug,2021,45,blue-collar,married,primary,no,419,no,no,cellular,113,4,-1,0,,0,36-45,0.1,4.5,7.5,2.6,29600,−15,145.3
21,may,2020,32,technician,married,secondary,no,2693,yes,no,,16,1,-1,0,,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
15,jul,2021,36,blue-collar,married,secondary,no,-231,no,yes,cellular,779,2,-1,0,,0,36-45,0.1,4.5,7.5,2.6,29600,−15,145.3
11,may,2020,51,management,single,tertiary,yes,-55,yes,no,cellular,281,2,266,6,failure,0,46-55,0.1,4.9,−9.4,0.9,28500,−34,142.8
21,aug,2021,34,self-employed,single,tertiary,no,462,no,no,cellular,1877,3,-1,0,,1,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
15,sep,2022,24,unemployed,single,secondary,no,119,no,no,,51,1,-1,0,,0,18-25,1.75,3.7,4.1,9.1,31000,−41,152.6
28,jul,2021,45,technician,single,secondary,no,586,no,yes,cellular,32,3,-1,0,,0,36-45,0.1,4.5,7.5,2.6,29600,−15,145.3
5,feb,2018,32,blue-collar,single,secondary,no,228,no,no,telephone,176,1,288,3,failure,0,26-35,0.75,4.1,1.3,2.5,28200,−9,138.7
14,apr,2019,77,retired,divorced,tertiary,no,4659,no,no,cellular,161,1,-1,0,,1,65+,0.75,3.8,1.6,1.8,29000,−14,137.1
18,nov,2023,41,blue-collar,married,primary,no,168,yes,no,cellular,187,3,-1,0,,0,36-45,5.25,4.2,0.3,7.3,33000,−24,158.9
26,may,2020,37,blue-collar,married,primary,no,0,yes,no,,24,1,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
30,may,2020,43,blue-collar,married,,yes,-715,yes,no,,67,3,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
8,may,2020,48,admin.,married,,no,0,yes,no,cellular,85,1,168,2,failure,0,46-55,0.1,4.9,−9.4,0.9,28500,−34,142.8
9,may,2020,27,technician,single,secondary,no,769,yes,no,,317,2,-1,0,,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
28,aug,2021,33,management,single,tertiary,no,0,no,no,cellular,236,10,-1,0,,0,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
7,may,2020,29,admin.,single,secondary,no,428,yes,yes,cellular,54,1,345,2,failure,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
5,feb,2018,34,management,single,tertiary,no,0,no,no,cellular,71,1,-1,0,,0,26-35,0.75,4.1,1.3,2.5,28200,−9,138.7
4,feb,2018,52,management,married,tertiary,no,-970,yes,no,cellular,489,1,-1,0,,1,46-55,0.75,4.1,1.3,2.5,28200,−9,138.7
19,jun,2020,60,management,married,,no,6313,no,no,,39,2,-1,0,,0,56-65,0.1,4.9,−9.4,0.9,28500,−34,142.8
12,aug,2021,32,management,divorced,tertiary,no,948,no,no,cellular,204,2,-1,0,,0,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
22,jul,2021,32,management,single,tertiary,no,0,yes,no,cellular,455,2,-1,0,,0,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
30,may,2020,56,services,divorced,,no,1877,yes,no,,86,1,-1,0,,0,56-65,0.1,4.9,−9.4,0.9,28500,−34,142.8
18,nov,2023,31,management,single,tertiary,no,874,yes,no,cellular,190,2,-1,0,,0,26-35,5.25,4.2,0.3,7.3,33000,−24,158.9
8,may,2020,42,admin.,married,secondary,no,323,yes,yes,,280,2,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
11,aug,2021,35,management,married,tertiary,no,106,no,yes,cellular,588,2,-1,0,,0,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
19,jun,2020,56,retired,married,primary,no,1906,no,yes,,45,9,-1,0,,0,56-65,0.1,4.9,−9.4,0.9,28500,−34,142.8
21,jul,2021,48,technician,married,secondary,no,1152,yes,no,cellular,168,5,-1,0,,0,46-55,0.1,4.5,7.5,2.6,29600,−15,145.3
29,jan,2018,46,admin.,married,secondary,no,179,yes,no,cellular,194,4,436,1,other,0,46-55,0.75,4.1,1.3,2.5,28200,−9,138.7
8,may,2020,37,technician,single,,no,391,yes,no,,103,3,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
6,may,2020,41,entrepreneur,married,,no,89,yes,no,,333,2,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
29,jul,2021,36,management,single,tertiary,no,442,yes,yes,cellular,102,3,-1,0,,0,36-45,0.1,4.5,7.5,2.6,29600,−15,145.3
1,jul,2021,45,unemployed,divorced,primary,yes,-249,yes,yes,,92,1,-1,0,,0,36-45,0.1,4.5,7.5,2.6,29600,−15,145.3
6,feb,2018,55,entrepreneur,married,secondary,no,8104,no,no,cellular,213,2,-1,0,,0,46-55,0.75,4.1,1.3,2.5,28200,−9,138.7
26,may,2020,39,technician,married,secondary,no,501,no,no,,289,1,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
22,aug,2021,35,technician,divorced,secondary,no,308,no,no,cellular,77,2,-1,0,,0,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
1,jun,2020,55,admin.,married,secondary,no,602,no,no,cellular,324,3,90,2,success,1,46-55,0.1,4.9,−9.4,0.9,28500,−34,142.8
29,jan,2018,55,technician,married,secondary,no,273,yes,no,cellular,84,3,183,3,failure,0,46-55,0.75,4.1,1.3,2.5,28200,−9,138.7
29,jan,2018,27,self-employed,single,secondary,no,50,no,no,cellular,168,1,-1,0,,0,26-35,0.75,4.1,1.3,2.5,28200,−9,138.7
17,apr,2019,34,technician,married,secondary,no,1641,yes,no,cellular,380,1,-1,0,,0,26-35,0.75,3.8,1.6,1.8,29000,−14,137.1
4,oct,2022,34,blue-collar,married,tertiary,no,20,no,no,,10,1,-1,0,,0,26-35,1.75,3.7,4.1,9.1,31000,−41,152.6
28,may,2020,25,admin.,single,secondary,no,4590,yes,no,,199,2,-1,0,,0,18-25,0.1,4.9,−9.4,0.9,28500,−34,142.8
9,may,2020,41,admin.,single,secondary,no,-256,no,yes,,35,3,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
26,may,2020,43,services,married,secondary,no,978,yes,yes,,82,2,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
20,oct,2022,28,management,single,tertiary,no,80,no,no,cellular,676,2,146,2,failure,1,26-35,1.75,3.7,4.1,9.1,31000,−41,152.6
3,jun,2020,31,admin.,single,secondary,no,2104,yes,no,,455,1,-1,0,,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
16,mar,2019,78,housemaid,married,secondary,no,499,no,no,telephone,80,4,-1,0,,0,65+,0.75,3.8,1.6,1.8,29000,−14,137.1
29,jan,2018,45,blue-collar,divorced,secondary,no,1269,yes,no,cellular,549,2,-1,0,,0,36-45,0.75,4.1,1.3,2.5,28200,−9,138.7
6,may,2020,48,technician,married,tertiary,no,310,no,no,,135,1,-1,0,,0,46-55,0.1,4.9,−9.4,0.9,28500,−34,142.8
10,jul,2021,32,blue-collar,single,secondary,no,1143,yes,yes,cellular,412,1,-1,0,,0,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
20,jun,2020,42,technician,married,secondary,no,2980,no,no,,101,3,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
28,jan,2018,37,management,single,tertiary,no,37,no,no,cellular,253,2,-1,0,,0,36-45,0.75,4.1,1.3,2.5,28200,−9,138.7
6,apr,2019,40,admin.,single,secondary,no,462,yes,yes,cellular,272,1,335,4,other,0,36-45,0.75,3.8,1.6,1.8,29000,−14,137.1
17,jul,2021,32,admin.,married,secondary,no,1031,yes,no,cellular,84,1,-1,0,,0,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
20,nov,2023,42,management,married,tertiary,no,9009,no,no,cellular,135,2,-1,0,,0,36-45,5.25,4.2,0.3,7.3,33000,−24,158.9
23,jul,2021,43,admin.,married,secondary,no,-465,yes,yes,cellular,166,1,-1,0,,0,36-45,0.1,4.5,7.5,2.6,29600,−15,145.3
31,jul,2021,44,admin.,married,secondary,no,5181,yes,yes,cellular,18,7,-1,0,,0,36-45,0.1,4.5,7.5,2.6,29600,−15,145.3
5,may,2020,37,admin.,married,secondary,no,176,yes,no,cellular,147,2,347,1,failure,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
9,jun,2020,37,,married,,no,1699,no,no,,63,1,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
17,nov,2023,37,admin.,married,tertiary,no,0,yes,no,cellular,65,2,119,1,failure,0,36-45,5.25,4.2,0.3,7.3,33000,−24,158.9
2,feb,2018,28,technician,single,tertiary,no,172,yes,yes,cellular,194,2,-1,0,,0,26-35,0.75,4.1,1.3,2.5,28200,−9,138.7
11,jul,2021,32,services,single,secondary,no,0,no,yes,cellular,333,2,-1,0,,0,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
15,may,2020,34,admin.,single,secondary,no,6979,yes,no,cellular,14,5,-1,0,,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
11,jun,2020,40,admin.,divorced,secondary,no,6,no,no,,140,1,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
